# ================================================================
# File Metrics
# ================================================================
# Repo:      L9
# Generated: 2026-02-13 21:22 UTC
# Branch:    main (58f7d020)
# Generator: export_repo_indexes.py v3.0.0
# ================================================================

# L9 File Metrics
# =================
# Format: path/to/file.py | Lines: N | Classes: N | Functions: N
# Use for: Finding large files, complexity hotspots

| File | Lines | Classes | Functions | Async |
| `memory/tool_router.py` | 750 | 4 | 8 | 12 |
| `runtime/mcp_client.py` | 750 | 3 | 10 | 9 |
| `codegen/code-gen-files/extractor.py` | 745 | 4 | 16 | 5 |
| `codegen/export_repo_indexes.py` | 735 | 0 | 22 | 0 |
| `memory/governance_hooks.py` | 732 | 10 | 15 | 6 |
| `world_model/causal_graph.py` | 731 | 3 | 18 | 0 |
| `scripts/memory/load_indexes_to_neo4j_vps.py` | 728 | 1 | 2 | 12 |
| `agents/cursor/extractors/cursor_action_extractor.py` | 726 | 1 | 11 | 0 |
| `email_agent/gmail_client.py` | 723 | 1 | 10 | 0 |
| `ci/check_imports.py` | 717 | 0 | 4 | 0 |
| `tests/core/agents/codegenagent/test_symbolic_verification.py` | 716 | 9 | 12 | 14 |
| `simulation/simulation_engine.py` | 714 | 6 | 16 | 6 |
| `clients/memory_client.py` | 710 | 6 | 3 | 16 |
| `core/worldmodel/service.py` | 708 | 1 | 2 | 16 |
| `mac_agent/executor.py` | 705 | 1 | 2 | 7 |
| `core/codegen/utilities.py` | 703 | 6 | 4 | 21 |
| `memory/agent_persistence.py` | 702 | 2 | 7 | 6 |
| `core/reasoning/l9_toth_adapter.py` | 701 | 2 | 13 | 9 |
| `local_dashboard/app.py` | 699 | 0 | 0 | 3 |
| `ci/validate_spec_v25.py` | 699 | 2 | 24 | 0 |
| `scripts/audit/tier1/audit_capability_inventory.py` | 698 | 7 | 7 | 0 |
| `core/governance/rate_limit_policy.py` | 695 | 7 | 12 | 9 |
| `runtime/superprompt_emitter.py` | 695 | 7 | 17 | 2 |
| `workflows/session/dags/wire_dag.py` | 695 | 0 | 1 | 0 |
| `services/research/graph_persistence.py` | 691 | 4 | 5 | 6 |
| `core/learning/auto_calibrator.py` | 689 | 2 | 15 | 0 |
| `tests/telemetry/test_memory_metrics.py` | 682 | 11 | 39 | 0 |
| `memory/cypher_templates.py` | 681 | 3 | 7 | 2 |
| `workflows/use_harvest_executor.py` | 680 | 3 | 18 | 0 |
| `orchestrators/pattern/orchestrator.py` | 680 | 3 | 7 | 5 |
| `core/protocols/rate_limiting_protocols.py` | 678 | 5 | 14 | 5 |
| `orchestrators/pattern/cell_adapter.py` | 678 | 2 | 9 | 3 |
| `mcp_memory/src/main.py` | 678 | 1 | 8 | 12 |
| `core/instrumentation/decorators.py` | 677 | 0 | 16 | 3 |
| `tests/core/governance/test_engine.py` | 677 | 0 | 13 | 7 |
| `agents/codegenagent/telemetry_codegen.py` | 677 | 6 | 18 | 0 |
| `orchestration/ws_task_router.py` | 676 | 4 | 13 | 4 |
| `tools/codegen/test_generator.py` | 672 | 12 | 17 | 0 |
| `workflows/dags/test_pipeline_dag.py` | 670 | 0 | 1 | 0 |
| `core/protocols/connection_protocols.py` | 669 | 5 | 8 | 16 |
